Timestamp,,What Engineering program are you in?,What year are you in?,What is your gender?  **We're asking this to discover any gender biases in our questions**,"Are you happy with what your program provides you with (i.e. courses, job opportunities, projects, etc.)",What kind of problems do you enjoy solving?,Would you consider yourself as being creative?,"What industry can you see yourself working in, in the future? Select all that apply.",How comfortable are you working in the outdoors?,What can you see yourself doing in the future?,How do you feel about group work? ,What high school class did you enjoy the most?,What high school class did you enjoy the least?,How do you feel about computer programming?,What type of club would you consider joining?,What type of club would you NOT want to join?,What project would you want to be a part of? ,What project do you find the least interesting?,"If you could only watch one TV show for the rest of your life, what would it be?","If engineering didn’t exist, what would you consider studying?",How do you feel about working with expensive equipment?,How would you describe your drawing abilities?,You have an assignment to write an essay about anything you want. How does that make you feel?,Skill testing question: what is (4+2)x2 ?,What was the extent of your programming experience prior to entering Engineering at the University of Waterloo?
12/10/2019 21:38:18,uwaterloo.ca,Chemical Engineering,4th year,Male,Yes,Problems that require some investigation.,I am not creative.,Manufacturing (i.e. Optimization or automation of manufacturing processes),"Working outside would be okay, but only for short periods of time.",Improving the way we use the world's resources.,I enjoy working with others.,Chemistry,Biology,I don't code but I am interested in trying it.,Environment club (i.e. UW Energy Network),Student council (i.e. Engineering Society),Designing a water treatment system for Mars.,Programming a robot that can make you dinner.,Breaking Bad,Geography,"Could be cool, but I don't really care about fancy equipment or how much it costs.",I am not very good.,Annoyed. I would much rather be given a topic with clear instructions.,,
12/11/2019 19:54:29,uwaterloo.ca,Architectural Engineering,2nd year,Female,Yes,Problems that require some investigation.,I am very creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Automotive (i.e. Designing a new autonomous car), Business (i.e. Starting your own consulting company), Construction (i.e. Building a smart city), Environment (i.e. Producing energy in sustainable ways)",I would rather work inside.,Designing or building sensor based technology.,I do not like working as part of a team. I would rather work alone.,Chemistry,History,"I code, I enjoy it and I'm good at it.",Student council (i.e. Engineering Society),Hacker club (i.e. UW Hacks),Designing an Olympic village.,Optimizing the Uber Pool routes.,House Hunters,English Literature,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,
2/2/2020 10:37:56,edu.uwaterloo.ca,Mechatronics Engineering,3rd year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Automotive (i.e. Designing a new autonomous car), Manufacturing (i.e. Optimization or automation of manufacturing processes)",I would rather work inside.,Designing or building sensor based technology.,I occasionally like working with others.,Physics,Business,"I code, I enjoy it and I'm good at it.",Robotics club (i.e. UW Robotics Team),Business club (i.e. UW Finance Association),Programming a robot that can make you dinner.,Creating a battery from recycled material.,Myth Busters,Computer Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
1/16/2020 13:10:16,uwaterloo.ca,Nanotechnology Engineering,3rd year,Female,No,Problems that require some investigation.,I am somewhat creative.,"Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Making discoveries at the molecular level.,I enjoy working with others.,Chemistry,Language Arts,I can code but it's not my favourite thing to do.,Robotics club (i.e. UW Robotics Team),Consulting club (i.e. DECA),Creating a battery from recycled material.,Designing an Olympic village.,Breaking Bad,Applied Science,That sounds cool!,"I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,
1/16/2020 12:41:24,uwaterloo.ca,Chemical Engineering,Alumnus,Male,Yes,Problems that require some investigation.,I am very creative.,"Health (i.e. Creating technology for minimally invasive surgeries), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Making discoveries at the molecular level.,I occasionally like working with others.,Biology,Geography,I don't code but I am interested in trying it.,Consulting club (i.e. DECA),Art or design club (i.e. Fashion for Change),Designing a water treatment system for Mars.,Designing an Olympic village.,Big Bang Theory,Health Studies,That sounds cool!,"I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
1/7/2020 16:05:39,edu.uwaterloo.ca,Mechanical Engineering,4th year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Health (i.e. Creating technology for minimally invasive surgeries), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Building things with moving parts.,I occasionally like working with others.,Math,Visual Arts,"I code, I enjoy it and I'm good at it.",Robotics club (i.e. UW Robotics Team),Student council (i.e. Engineering Society),Designing a water treatment system for Mars.,Optimizing the Uber Pool routes.,Planet Earth,Math,That sounds cool!,I am not very good.,Annoyed. I would much rather be given a topic with clear instructions.,,
1/16/2020 14:51:54,uwaterloo.ca,Biomedical Engineering,1st year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Business (i.e. Starting your own consulting company), Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways), Technology (i.e. Working with cloud based software)",I love the outdoors and wish I could work outside every day.,Designing or building sensor based technology.,I occasionally like working with others.,Physics,Language Arts,"I code, I enjoy it and I'm good at it.",Hacker club (i.e. UW Hacks),Student council (i.e. Engineering Society),Creating a battery from recycled material.,Designing an Olympic village.,Big Bang Theory,Applied Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Excited! I can share my theories with the world.,,
1/16/2020 13:11:51,uwaterloo.ca,Nanotechnology Engineering,3rd year,Female,No,Problems that require some investigation.,I am somewhat creative.,"Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes)","Working outside would be okay, but only for short periods of time.",Improving the way we use the world's resources.,I enjoy working with others.,Chemistry,Visual Arts,I don’t code and I have no desire to learn.,Consulting club (i.e. DECA),Autoshop club (i.e. Autonomoose Autonomous Car Club),Designing a water treatment system for Mars.,Optimizing the Uber Pool routes.,Grey’s Anatomy,Environmental Studies,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
12/12/2019 15:20:07,uwaterloo.ca,Architectural Engineering,1st year,Female,Yes,Problems that require some investigation.,I am very creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Construction (i.e. Building a smart city)","Working outside would be okay, but only for short periods of time.",Designing buildings.,I occasionally like working with others.,Physics,Biology,I don’t code and I have no desire to learn.,Art or design club (i.e. Fashion for Change),Hacker club (i.e. UW Hacks),Designing an Olympic village.,Programming a robot that can make you dinner.,House Hunters,Visual Arts,"Could be cool, but I don't really care about fancy equipment or how much it costs.","Really good, I can draw just about anything.",Annoyed. I would much rather be given a topic with clear instructions.,,
1/17/2020 11:30:12,edu.uwaterloo.ca,Nanotechnology Engineering,2nd year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Business (i.e. Starting your own consulting company), Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Improving the way we use the world's resources.,I enjoy working with others.,Math,Language Arts,I can code but it's not my favourite thing to do.,Student council (i.e. Engineering Society),Autoshop club (i.e. Autonomoose Autonomous Car Club),Prototyping a musical instrument for children with a disability.,Designing an Olympic village.,Big Bang Theory,Applied Science,That sounds cool!,I am not very good.,Annoyed. I would much rather be given a topic with clear instructions.,,
12/12/2019 18:15:26,uwaterloo.ca,Systems Design Engineering,3rd year,Female,Yes,Problems that are well defined.,I am somewhat creative.,Technology (i.e. Working with cloud based software),"Working outside would be okay, but only for short periods of time.",Improving the way we use the world's resources.,I occasionally like working with others.,Visual Arts,Biology,I can code but it's not my favourite thing to do.,Art or design club (i.e. Fashion for Change),Business club (i.e. UW Finance Association),Prototyping a musical instrument for children with a disability.,Building the world’s most powerful supercomputer.,Planet Earth,Graphic Design,"Could be cool, but I don't really care about fancy equipment or how much it costs.","Really good, I can draw just about anything.",A bit apprehensive. I get overwhelmed with so many options.,,
1/23/2020 19:50:09,uwaterloo.ca,Electrical Engineering,2nd year,Female,Yes,Problems that are well defined.,I am somewhat creative.,"Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Building things with moving parts.,I occasionally like working with others.,Math,History,I can code but it's not my favourite thing to do.,Robotics club (i.e. UW Robotics Team),Consulting club (i.e. DECA),Creating a battery from recycled material.,Building the world’s most powerful supercomputer.,House Hunters,Applied Science,That sounds cool!,I am not very good.,A bit apprehensive. I get overwhelmed with so many options.,,
12/10/2019 23:48:50,uwaterloo.ca,Architectural Engineering,1st year,Female,Yes,Problems that are well defined.,I am somewhat creative.,Architecture (i.e. Designing a building taller than the CN Tower),"Working outside would be okay, but only for short periods of time.",Designing buildings.,I occasionally like working with others.,Math,Physics,I don't code but I am interested in trying it.,Student council (i.e. Engineering Society),Consulting club or business club (i.e. DECA),Designing an Olympic village.,Optimizing the Uber Pool routes.,Grey’s Anatomy,Math,That sounds cool!,"I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
1/16/2020 22:05:11,uwaterloo.ca,Mechanical Engineering,1st year,Male,Yes,Problems that are well defined.,I am somewhat creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Automotive (i.e. Designing a new autonomous car), Manufacturing (i.e. Optimization or automation of manufacturing processes)","Working outside would be okay, but only for short periods of time.",Building things with moving parts.,I enjoy working with others.,Chemistry,Language Arts,I can code but it's not my favourite thing to do.,Robotics club (i.e. UW Robotics Team),Art or design club (i.e. Fashion for Change),Programming a robot that can make you dinner.,Prototyping a musical instrument for children with a disability.,Silicon Valley,Applied Science,That sounds cool!,"I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,
12/12/2019 16:05:42,edu.uwaterloo.ca,Biomedical Engineering,1st year,Female,Yes,Problems that are well defined.,I am somewhat creative.,"Health (i.e. Creating technology for minimally invasive surgeries), Technology (i.e. Working with cloud based software)",I love the outdoors and wish I could work outside every day.,Optimizing processes.,I enjoy working with others.,Math,Language Arts,"I code, I enjoy it and I'm good at it.",Hacker club (i.e. UW Hacks),Student council (i.e. Engineering Society),Prototyping a musical instrument for children with a disability.,Building the world’s most powerful supercomputer.,Breaking Bad,Health Studies,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,
1/26/2020 14:14:28,edu.uwaterloo.ca,Nanotechnology Engineering,1st year,Female,No,Problems that require some investigation.,I am somewhat creative.,"Business (i.e. Starting your own consulting company), Construction (i.e. Building a smart city), Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)",I would rather work inside.,Optimizing processes.,I occasionally like working with others.,Chemistry,Geography,"I code, I enjoy it and I'm good at it.",Consulting club (i.e. DECA),Autoshop club (i.e. Autonomoose Autonomous Car Club),Building the world’s most powerful supercomputer.,Designing an Olympic village.,Big Bang Theory,Political Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Excited! I can share my theories with the world.,,
1/16/2020 12:29:46,edu.uwaterloo.ca,Systems Design Engineering,1st year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,Technology (i.e. Working with cloud based software),I would rather work inside.,Programming apps.,I enjoy working with others.,Math,Business,"I code, I enjoy it and I'm good at it.",Art or design club (i.e. Fashion for Change),Business club (i.e. UW Finance Association),Prototyping a musical instrument for children with a disability.,Creating a battery from recycled material.,Grey’s Anatomy,Computer Science,That sounds cool!,"Really good, I can draw just about anything.",Excited! I can share my theories with the world.,,
1/17/2020 11:06:18,uwaterloo.ca,Biomedical Engineering,1st year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Business (i.e. Starting your own consulting company), Health (i.e. Creating technology for minimally invasive surgeries), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Optimizing processes.,I enjoy working with others.,Chemistry,Physics,I can code but it's not my favourite thing to do.,Art or design club (i.e. Fashion for Change),Consulting club (i.e. DECA),Programming a robot that can make you dinner.,Building the world’s most powerful supercomputer.,Big Bang Theory,Business,That sounds cool!,"I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
1/16/2020 15:39:09,edu.uwaterloo.ca,Software Engineering,1st year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Business (i.e. Starting your own consulting company), Environment (i.e. Producing energy in sustainable ways), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Designing or building sensor based technology.,I occasionally like working with others.,Computer Science,Language Arts,"I code, I enjoy it and I'm good at it.",Robotics club (i.e. UW Robotics Team),Art or design club (i.e. Fashion for Change),Creating a battery from recycled material.,Designing an Olympic village.,Big Bang Theory,Computer Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.",I am not very good.,Annoyed. I would much rather be given a topic with clear instructions.,,
1/16/2020 12:50:59,uwaterloo.ca,Civil Engineering,1st year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Construction (i.e. Building a smart city), Environment (i.e. Producing energy in sustainable ways)","Working outside would be okay, but only for short periods of time.",Designing buildings.,I occasionally like working with others.,Math,Visual Arts,"I code, I enjoy it and I'm good at it.",Robotics club (i.e. UW Robotics Team),Business club (i.e. UW Finance Association),Designing a water treatment system for Mars.,Optimizing the Uber Pool routes.,Myth Busters,Computer Science,That scares me and I don't want to touch it.,I am not very good.,Annoyed. I would much rather be given a topic with clear instructions.,,
12/12/2019 21:26:19,edu.uwaterloo.ca,Chemical Engineering,4th year,Female,Yes,Problems that are well defined.,I am somewhat creative.,Technology (i.e. Working with cloud based software),I would rather work inside.,Optimizing processes.,I occasionally like working with others.,Chemistry,History,I can code but it's not my favourite thing to do.,Student council (i.e. Engineering Society),Autoshop club (i.e. Autonomoose Autonomous Car Club),Optimizing the Uber Pool routes.,Designing a water treatment system for Mars.,Planet Earth,Health Studies,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
1/19/2020 1:03:40,uwaterloo.ca,Chemical Engineering,4th year,Female,Yes,Problems that are well defined.,I am very creative.,"Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways), Technology (i.e. Working with cloud based software)",I would rather work inside.,Making discoveries at the molecular level.,I occasionally like working with others.,Math,History,I can code but it's not my favourite thing to do.,Environment club (i.e. UW Energy Network),Consulting club (i.e. DECA),Programming a robot that can make you dinner.,Designing a water treatment system for Mars.,Breaking Bad,Health Studies,"Could be cool, but I don't really care about fancy equipment or how much it costs.","Really good, I can draw just about anything.",A bit apprehensive. I get overwhelmed with so many options.,,
1/21/2020 16:50:13,edu.uwaterloo.ca,Biomedical Engineering,2nd year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways)","Working outside would be okay, but only for short periods of time.",Designing or building sensor based technology.,I occasionally like working with others.,Autoshop,Language Arts,I can code but it's not my favourite thing to do.,Autoshop club (i.e. Autonomoose Autonomous Car Club),Business club (i.e. UW Finance Association),Designing a water treatment system for Mars.,Building the world’s most powerful supercomputer.,Planet Earth,Health Studies,That sounds cool!,"I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,
1/16/2020 12:20:00,uwaterloo.ca,Software Engineering,1st year,Male,No,Problems that require some investigation.,I am very creative.,"Business (i.e. Starting your own consulting company), Health (i.e. Creating technology for minimally invasive surgeries), Technology (i.e. Working with cloud based software)",I would rather work inside.,Optimizing processes.,I enjoy working with others.,Math,Biology,"I code, I enjoy it and I'm good at it.",Hacker club (i.e. UW Hacks),Art or design club (i.e. Fashion for Change),Optimizing the Uber Pool routes.,Designing an Olympic village.,Breaking Bad,Computer Science,That sounds cool!,I am not very good.,Excited! I can share my theories with the world.,,
1/16/2020 12:42:13,edu.uwaterloo.ca,Mechanical Engineering,3rd year,Male,Yes,Problems that require some investigation.,I am very creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Automotive (i.e. Designing a new autonomous car), Business (i.e. Starting your own consulting company), Health (i.e. Creating technology for minimally invasive surgeries)",I love the outdoors and wish I could work outside every day.,Building things with moving parts.,I enjoy working with others.,Physics,Computer Science,I can code but it's not my favourite thing to do.,Autoshop club (i.e. Autonomoose Autonomous Car Club),Hacker club (i.e. UW Hacks),Prototyping a musical instrument for children with a disability.,Optimizing the Uber Pool routes.,Silicon Valley,Health Studies,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Excited! I can share my theories with the world.,,
1/16/2020 11:49:00,uwaterloo.ca,Management Engineering,2nd year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,Technology (i.e. Working with cloud based software),I would rather work inside.,Programming apps.,I occasionally like working with others.,History,Biology,"I code, I enjoy it and I'm good at it.",Hacker club (i.e. UW Hacks),Art or design club (i.e. Fashion for Change),Programming a robot that can make you dinner.,Designing an Olympic village.,Breaking Bad,Computer Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,
12/12/2019 14:34:06,uwaterloo.ca,Civil Engineering,1st year,Female,Yes,Problems that require some investigation.,I am very creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Construction (i.e. Building a smart city), Environment (i.e. Producing energy in sustainable ways)",I love the outdoors and wish I could work outside every day.,Improving the way we use the world's resources.,I occasionally like working with others.,Visual Arts,Business,I can code but it's not my favourite thing to do.,Art or design club (i.e. Fashion for Change),Business club (i.e. UW Finance Association),Designing an Olympic village.,Optimizing the Uber Pool routes.,Myth Busters,Applied Science,That sounds cool!,"I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,
1/16/2020 12:09:32,uwaterloo.ca,Civil Engineering,1st year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Construction (i.e. Building a smart city), Environment (i.e. Producing energy in sustainable ways)",I love the outdoors and wish I could work outside every day.,Designing buildings.,I enjoy working with others.,Visual Arts,Biology,I can code but it's not my favourite thing to do.,Art or design club (i.e. Fashion for Change),Business club (i.e. UW Finance Association),Designing an Olympic village.,Creating a battery from recycled material.,Planet Earth,Environmental Studies,That sounds cool!,"I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,
1/7/2020 16:39:13,edu.uwaterloo.ca,Management Engineering,4th year,Male,Yes,Problems that are well defined.,I am somewhat creative.,"Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)",I would rather work inside.,Optimizing processes.,I occasionally like working with others.,Math,Visual Arts,"I code, I enjoy it and I'm good at it.",Hacker club (i.e. UW Hacks),Art or design club (i.e. Fashion for Change),Programming a robot that can make you dinner.,Designing an Olympic village.,Big Bang Theory,Math,"Could be cool, but I don't really care about fancy equipment or how much it costs.",I am not very good.,A bit apprehensive. I get overwhelmed with so many options.,,
12/11/2019 0:04:48,gmail.com,Biomedical Engineering,3rd year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Health (i.e. Creating technology for minimally invasive surgeries), Technology (i.e. Working with cloud based software)",I would rather work inside.,Designing or building sensor based technology.,I enjoy working with others.,Chemistry,History,I can code but it's not my favourite thing to do.,Hacker club (i.e. UW Hacks),Environment club (i.e. UW Energy Network),Prototyping a musical instrument for children with a disability.,Designing an Olympic village.,Myth Busters,Computer Science,That sounds cool!,"I am not the best, but I am not the worst.",Excited! I can share my theories with the world.,,
1/22/2020 0:35:22,uwaterloo.ca,Systems Design Engineering,3rd year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Business (i.e. Starting your own consulting company), Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways), Technology (i.e. Working with cloud based software)",I would rather work inside.,Optimizing processes.,I occasionally like working with others.,Language Arts,Business,"I code, I enjoy it and I'm good at it.",Art or design club (i.e. Fashion for Change),Autoshop club (i.e. Autonomoose Autonomous Car Club),Prototyping a musical instrument for children with a disability.,Building the world’s most powerful supercomputer.,Myth Busters,English Literature,That sounds cool!,"I am not the best, but I am not the worst.",Excited! I can share my theories with the world.,,
12/10/2019 18:10:36,edu.uwaterloo.ca,Mechanical Engineering,1st year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Automotive (i.e. Designing a new autonomous car), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)",I love the outdoors and wish I could work outside every day.,Building things with moving parts.,I enjoy working with others.,Autoshop,Language Arts,I can code but it's not my favourite thing to do.,Robotics club (i.e. UW Robotics Team),Art or design club (i.e. Fashion for Change),Building the world’s most powerful supercomputer.,Prototyping a musical instrument for children with a disability.,Myth Busters,Computer Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Excited! I can share my theories with the world.,,
1/17/2020 17:31:51,uwaterloo.ca,Management Engineering,1st year,Female,Yes,Problems that are well defined.,I am very creative.,"Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)",I would rather work inside.,Optimizing processes.,I occasionally like working with others.,Language Arts,Math,I don't code but I am interested in trying it.,Art or design club (i.e. Fashion for Change),Autoshop club (i.e. Autonomoose Autonomous Car Club),Prototyping a musical instrument for children with a disability.,Creating a battery from recycled material.,Planet Earth,Psychology,That sounds cool!,"Really good, I can draw just about anything.",Annoyed. I would much rather be given a topic with clear instructions.,,
1/16/2020 13:48:15,uwaterloo.ca,Biomedical Engineering,1st year,Female,Yes,Problems that require some investigation.,I am not creative.,"Health (i.e. Creating technology for minimally invasive surgeries), Technology (i.e. Working with cloud based software)",I would rather work inside.,Programming apps.,I occasionally like working with others.,Biology,Chemistry,I can code but it's not my favourite thing to do.,Autoshop club (i.e. Autonomoose Autonomous Car Club),Art or design club (i.e. Fashion for Change),Designing a water treatment system for Mars.,Designing an Olympic village.,Big Bang Theory,Computer Science,That sounds cool!,I am not very good.,A bit apprehensive. I get overwhelmed with so many options.,,
1/7/2020 14:24:07,uwaterloo.ca,Mechanical Engineering,Alumnus,Male,Yes,Problems that are well defined.,I am very creative.,"Business (i.e. Starting your own consulting company), Construction (i.e. Building a smart city), Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes)",I love the outdoors and wish I could work outside every day.,Optimizing processes.,I occasionally like working with others.,Math,Geography,I don't code but I am interested in trying it.,Environment club (i.e. UW Energy Network),Art or design club (i.e. Fashion for Change),Designing a water treatment system for Mars.,Programming a robot that can make you dinner.,Silicon Valley,Finance,That sounds cool!,"Really good, I can draw just about anything.",A bit apprehensive. I get overwhelmed with so many options.,,
1/16/2020 17:45:58,uwaterloo.ca,Computer Engineering,1st year,Male,Yes,Problems that are well defined.,I am somewhat creative.,Automotive (i.e. Designing a new autonomous car),"Working outside would be okay, but only for short periods of time.",Designing or building sensor based technology.,I enjoy working with others.,Physics,Chemistry,"I code, I enjoy it and I'm good at it.",Robotics club (i.e. UW Robotics Team),Art or design club (i.e. Fashion for Change),Programming a robot that can make you dinner.,Creating a battery from recycled material.,Big Bang Theory,Business,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Excited! I can share my theories with the world.,,
1/16/2020 12:36:37,uwaterloo.ca,Mechatronics Engineering,2nd year,Female,Yes,Problems that require some investigation.,I am very creative.,"Automotive (i.e. Designing a new autonomous car), Health (i.e. Creating technology for minimally invasive surgeries), Technology (i.e. Working with cloud based software)",I love the outdoors and wish I could work outside every day.,Designing or building sensor based technology.,I occasionally like working with others.,Physics,Geography,"I code, I enjoy it and I'm good at it.",Student council (i.e. Engineering Society),Environment club (i.e. UW Energy Network),Programming a robot that can make you dinner.,Optimizing the Uber Pool routes.,Big Bang Theory,Health Studies,"Could be cool, but I don't really care about fancy equipment or how much it costs.","Really good, I can draw just about anything.",Excited! I can share my theories with the world.,,
12/11/2019 20:45:10,uwaterloo.ca,Architectural Engineering,1st year,Female,Yes,Problems that are well defined.,I am very creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Business (i.e. Starting your own consulting company), Construction (i.e. Building a smart city)","Working outside would be okay, but only for short periods of time.",Designing buildings.,I occasionally like working with others.,Math,Chemistry,I don't code but I am interested in trying it.,Art or design club (i.e. Fashion for Change),Hacker club (i.e. UW Hacks),Designing an Olympic village.,Optimizing the Uber Pool routes.,Grey’s Anatomy,Marketing,"Could be cool, but I don't really care about fancy equipment or how much it costs.","Really good, I can draw just about anything.",A bit apprehensive. I get overwhelmed with so many options.,,
1/16/2020 13:03:28,uwaterloo.ca,Mechatronics Engineering,2nd year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Automotive (i.e. Designing a new autonomous car), Manufacturing (i.e. Optimization or automation of manufacturing processes)","Working outside would be okay, but only for short periods of time.",Designing or building sensor based technology.,I occasionally like working with others.,History,Language Arts,I can code but it's not my favourite thing to do.,Robotics club (i.e. UW Robotics Team),Consulting club (i.e. DECA),Designing a water treatment system for Mars.,Designing an Olympic village.,Planet Earth,Applied Science,That sounds cool!,"I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
12/13/2019 16:00:24,uwaterloo.ca,Management Engineering,2nd year,Female,Yes,Problems that require some investigation.,I am very creative.,"Business (i.e. Starting your own consulting company), Manufacturing (i.e. Optimization or automation of manufacturing processes)","Working outside would be okay, but only for short periods of time.",Optimizing processes.,I enjoy working with others.,Math,Computer Science,I can code but it's not my favourite thing to do.,Student council (i.e. Engineering Society),Autoshop club (i.e. Autonomoose Autonomous Car Club),Designing an Olympic village.,Designing a water treatment system for Mars.,Planet Earth,Political Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
1/7/2020 17:55:15,edu.uwaterloo.ca,Mechanical Engineering,3rd year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Automotive (i.e. Designing a new autonomous car), Business (i.e. Starting your own consulting company), Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes)",I love the outdoors and wish I could work outside every day.,Building things with moving parts.,I enjoy working with others.,Math,Language Arts,I can code but it's not my favourite thing to do.,Autoshop club (i.e. Autonomoose Autonomous Car Club),Art or design club (i.e. Fashion for Change),Designing a water treatment system for Mars.,Optimizing the Uber Pool routes.,House Hunters,Business,That sounds cool!,"I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
1/16/2020 13:55:21,edu.uwaterloo.ca,Biomedical Engineering,4th year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Automotive (i.e. Designing a new autonomous car), Health (i.e. Creating technology for minimally invasive surgeries), Technology (i.e. Working with cloud based software)",I would rather work inside.,Building things with moving parts.,I occasionally like working with others.,Physics,Language Arts,"I code, I enjoy it and I'm good at it.",Robotics club (i.e. UW Robotics Team),Student council (i.e. Engineering Society),Optimizing the Uber Pool routes.,Prototyping a musical instrument for children with a disability.,Breaking Bad,Computer Science,That sounds cool!,"I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
